Tweet Id,Username,Datetime,Text
1616223976317136896,gidakata,2023-01-19 23:59:58+00:00,"@TR4NSRACHA oh I always get people by being very into 1st g3n and 2nd g3n groups on accident and I feel bad,,, also I have a weird interest in Korean 70s rock and 80s music"
1616223967303409672,511dfw,2023-01-19 23:59:56+00:00,accident:US-75  southbound I-635/Exit 21 Dallas various Lns blocked
1616223966766456833,511DFWDallas,2023-01-19 23:59:56+00:00,accident:US-75  southbound I-635/Exit 21 Dallas various Lns blocked
1616223944872452098,drdeepak81,2023-01-19 23:59:51+00:00,@Viswanath507480 Met with an accident around a month back and was hospitalised since then
1616223939847680001,rabmcmlxxxvii,2023-01-19 23:59:49+00:00,"Makes up a statement about a cause of death, gets called out, and then claims that there was no article to the tweet he responded to saying it was a boat accident...

Absolute pos excuse for a human being."
1616223930037211136,LeakyConchisnes,2023-01-19 23:59:47+00:00,@TechBurritoUno imagine having an accident and now any vehicle involved is stuck with a wicked string of shatter damage and stuck in matte black because it doesnt work anymore
1616223918632706048,winniecm,2023-01-19 23:59:44+00:00,"@Mollyploofkins I think it was an unfortunate accident, some negligence for sure, but not manslaughter, involuntary or voluntary."
1616223888320364545,CPhenom69,2023-01-19 23:59:37+00:00,"The ""Vaccine"" is killing your immune system, this isn't an accident🇺🇸"
1616223868502560769,tbn24usa,2023-01-19 23:59:32+00:00,Accident Victims Right Under Law | The Views : Episode 1262 https://t.co/tLrR5ui1Pj
1616223865121783809,BraddersFtw,2023-01-19 23:59:32+00:00,"@PSA_Sitch manslaughter is a thing dude
accidentally killing someone, granted he can get left off, but someone is responsible for allowing a real, loaded fun on set, it doesnt matter who, but investigations hould be conducted..you know..incase it wasnt an accident."
1616223863695712256,Secilarif,2023-01-19 23:59:31+00:00,@foe23 @arbarkas Accident &amp; Emergeny would be the best fit...
1616223832515256320,Bluegirl_3,2023-01-19 23:59:24+00:00,@pjampaganza Absolutely not @AlecBaldwin did not commit a crime. It was a tragic accident and I'm appalled that he's being charged. This is the shit that pisses me off. You have a little effing Nazi prick #Rittenhouse who shoots people on purpose and he gets to walk. It's bullshit.
